Id,SalePrice
1461,101941.1883769887
1462,154759.5738350689
1463,177511.05410192697
1464,187480.20632772474
1465,199156.17064107582
1466,180130.47604493625
1467,162704.52375069534
1468,172850.66397293593
1469,205618.66514034377
1470,108904.68243663074
1471,176172.26399613023
1472,97320.44064334144
1473,94671.7948016077
1474,144086.8661633268
1475,116804.93197998582
1476,375659.7427174564
1477,266177.99044259556
1478,339514.13430053066
1479,329028.9019169623
1480,511664.77949429734
1481,317280.5139170034
1482,233532.94568364669
1483,196470.64566124152
1484,170293.92761912514
1485,191344.41271862527
1486,213002.42371820053
1487,336688.0393127716
1488,262270.1643376565
1489,193010.73691754587
1490,213893.26339977112
1491,199543.9643540249
1492,98431.98057222636
1493,189584.4781471462
1494,300473.5868796205
1495,291043.5255233408
1496,216680.53928618325
1497,187360.09454109098
1498,161345.9824351725
1499,157521.4651979377
1500,150805.87525293152
1501,174690.79368310876
1502,149015.06604345262
1503,276303.03155456146
1504,231669.42503184028
1505,217512.46122234294
1506,186634.69016526462
1507,234277.6764808844
1508,195866.68831793018
1509,159631.344091839
1510,138584.3124156827
1511,140347.8592155703
1512,158440.97784086867
1513,148053.0301186439
1514,160423.61232182014
1515,200040.08920486458
1516,155894.88980352232
1517,162580.1324423478
1518,148125.63505982203
1519,209277.4217480105
1520,122674.31237584997
1521,128507.72453755356
1522,177388.7481757706
1523,114615.42231070514
1524,109601.70804681614
1525,113756.90745501689
1526,117676.98063961847
1527,108941.25689235923
1528,138363.91390241997
1529,129258.32558493229
1530,171911.9851581366
1531,120282.07322465203
1532,91072.19156917791
1533,128707.72813240142
1534,121833.81433724087
1535,153290.08839734428
1536,109651.2964595429
1537,84268.40693618277
1538,159861.1888048784
1539,169207.14274121466
1540,113708.38002842398
1541,137270.27698925423
1542,127976.68160623575
1543,204461.50653402007
1544,82573.01352225865
1545,104136.37367546641
1546,121561.79956146481
1547,128737.49154380351
1548,116074.24148038028
1549,104239.80899553103
1550,119912.46974123444
1551,112920.9889962529
1552,126228.57994986608
1553,140337.46561045916
1554,112620.06439118386
1555,173246.5356118692
1556,116115.28273698065
1557,119484.42106116576
1558,106010.82107276551
1559,93799.8821908214
1560,120285.48589330136
1561,141255.50202283048
1562,124823.717937248
